open_time,open,high,low,close,volume
1775347200000,4648.6,4651.8,4648.25,4650.49,117.0976
1775361600000,4650.48,4651.91,4648.26,4648.47,179.437
1775376000000,4648.33,4650.47,4630.05,4637.52,1028.4026
1775390400000,4637.66,4638.78,4618.53,4633.99,1000.3806
1775404800000,4633.99,4635.38,4618.32,4624.8,2833.3049
1775419200000,4624.62,4653.18,4595.0,4598.82,2824.4045
1775433600000,4599.39,4657.7,4588.55,4628.38,1797.1547
1775448000000,4628.2,4675.0,4624.48,4671.56,1141.205
1775462400000,4671.6,4692.8,4665.8,4665.8,1683.2817
1775476800000,4665.73,4681.61,4640.34,4654.01,1660.9998
1775491200000,4654.01,4657.2,4633.04,4641.05,555.7959
1775505600000,4641.06,4652.91,4634.89,4644.39,319.1993
1775520000000,4643.8,4649.93,4602.93,4634.59,874.2939
1775534400000,4634.65,4647.15,4609.98,4631.39,497.4504
1775548800000,4631.39,4678.15,4619.0,4645.69,1536.3322
1775563200000,4645.62,4655.16,4596.24,4642.56,1574.9504
1775577600000,4642.56,4702.9,4640.77,4687.39,1603.0873
1775592000000,4687.75,4812.14,4684.69,4809.74,5112.6823
1775606400000,4809.75,4834.28,4768.53,4775.83,2519.4792
1775620800000,4775.83,4819.09,4768.77,4792.68,1449.0582
1775635200000,4792.14,4798.37,4754.86,4780.16,1355.8098
1775649600000,4780.17,4789.18,4706.2,4740.12,2516.6333
1775664000000,4740.13,4747.81,4683.8,4716.2,2505.8758
1775678400000,4716.36,4720.93,4692.03,4702.52,802.05
1775692800000,4702.53,4720.28,4684.0,4698.97,1112.6951
1775707200000,4698.97,4718.27,4694.0,4712.4,469.9345
1775721600000,4712.4,4744.62,4708.72,4744.45,1393.4428
1775736000000,4744.37,4784.34,4724.81,4781.69,2080.7734
1775750400000,4781.16,4788.88,4754.9,4756.4,1071.9118
1775764800000,4756.41,4764.04,4742.9,4747.51,793.2184
1775779200000,4748.04,4759.91,4724.11,4748.94,417.9715
1775793600000,4748.94,4753.0,4727.25,4732.47,540.6549
1775808000000,4732.7,4751.46,4716.24,4751.46,464.2209
1775822400000,4751.46,4777.44,4739.96,4745.06,1368.1473
1775836800000,4745.25,4756.81,4733.29,4744.12,789.5679
1775851200000,4744.45,4747.27,4725.67,4734.0,481.8971
1775865600000,4734.0,4734.0,4726.55,4730.33,379.6322
1775880000000,4730.33,4732.96,4727.17,4732.2,100.8172
1775894400000,4732.2,4734.99,4731.0,4731.02,101.2916
1775908800000,4731.02,4740.0,4729.36,4735.68,168.0154
1775923200000,4735.67,4739.56,4727.64,4735.84,912.1953
1775937600000,4735.84,4738.47,4730.15,4731.88,184.3067
1775952000000,4731.88,4735.29,4709.66,4719.36,441.6018
1775966400000,4719.35,4719.55,4698.0,4713.09,441.7826
1775980800000,4713.08,4717.72,4700.0,4709.37,423.5541
1775995200000,4709.37,4709.48,4685.0,4691.25,422.3796
1776009600000,4691.25,4696.19,4685.01,4693.5,523.1105
